codigo_inep,ano,n_redacoes,media_c1,media_c2,media_c3,media_c4,media_c5
17024889,2024,76,118.42,136.58,110.26,122.63,87.11
17024919,2024,35,113.14,132.0,104.57,121.71,93.71
17024935,2024,13,106.15,124.62,103.08,118.46,78.46
17024951,2024,36,116.11,145.56,110.0,121.67,101.11
17024960,2024,29,113.79,135.17,102.07,115.17,73.79
17025052,2024,6,106.67,130.0,96.67,123.33,90.0
17025206,2024,22,122.73,141.82,119.09,132.73,101.82
17025621,2024,15,105.33,130.67,100.0,118.67,74.67
17025885,2024,35,113.71,141.71,111.43,126.86,106.86
17026156,2024,29,133.1,166.9,137.24,144.83,147.59
17026164,2024,146,125.75,152.19,122.88,136.3,117.4
17026172,2024,21,116.19,143.81,120.95,130.48,113.33
17026229,2024,183,121.64,151.15,121.97,136.07,110.49
17026237,2024,24,150.0,175.0,149.17,172.5,171.67
17026245,2024,31,110.32,136.77,108.39,119.35,92.9
17026253,2024,18,104.44,123.33,100.0,108.89,74.44
17026261,2024,17,121.18,147.06,107.06,121.18,82.35
17026270,2024,126,122.7,147.14,120.0,133.81,115.56
17026288,2024,51,118.82,134.51,107.06,120.39,85.88
17026296,2024,115,121.91,148.7,119.3,133.22,113.57
17026300,2024,54,115.19,143.7,108.89,124.07,97.04
17026334,2024,30,116.0,148.0,116.67,126.0,97.33
17026342,2024,23,114.78,139.13,112.17,121.74,102.61
17026350,2024,18,121.11,148.89,111.11,127.78,97.78
17026369,2024,13,118.46,140.0,113.85,132.31,110.77
17026377,2024,17,117.65,149.41,128.24,138.82,116.47
17026920,2024,20,102.0,121.0,88.0,102.0,60.0
17027608,2024,46,112.61,134.35,106.09,120.43,82.61
17027705,2024,17,101.18,110.59,94.12,103.53,45.88
17027993,2024,43,111.16,137.67,112.56,122.79,92.09
17028000,2024,11,109.09,134.55,110.91,120.0,81.82
17028027,2024,10,114.0,120.0,108.0,120.0,78.0
17028795,2024,47,118.72,143.83,118.3,131.49,114.47
17028809,2024,3,120.0,126.67,100.0,113.33,60.0
17029341,2024,1,80.0,80.0,60.0,120.0,20.0
17029449,2024,22,106.36,131.82,101.82,120.91,94.55
17029864,2024,30,115.33,134.0,102.67,119.33,85.33
17029872,2024,14,118.57,145.71,111.43,120.0,100.0
17030412,2024,12,101.67,128.33,85.0,113.33,98.33
17030528,2024,35,105.71,129.14,100.57,118.86,60.57
17030811,2024,40,102.5,128.0,92.0,112.0,81.5
17031176,2024,4,95.0,130.0,95.0,110.0,65.0
17031540,2024,21,116.19,148.57,115.24,131.43,100.95
17031567,2024,2,100.0,100.0,110.0,90.0,110.0
17031990,2024,17,111.76,149.41,107.06,120.0,94.12
17032091,2024,27,109.63,135.56,102.22,117.04,80.74
17032229,2024,19,116.84,130.53,111.58,126.32,84.21
17032270,2024,7,117.14,151.43,108.57,125.71,91.43
17032717,2024,21,104.76,128.57,103.81,111.43,77.14
17032750,2024,26,121.54,135.38,116.15,120.77,101.54
17032784,2024,11,110.91,140.0,109.09,112.73,98.18
17033276,2024,35,122.29,147.43,116.57,135.43,114.29
17033292,2024,15,137.33,174.67,148.0,168.0,162.67
17033624,2024,28,119.29,152.14,118.57,133.57,118.57
17033705,2024,32,114.38,150.0,116.88,130.62,115.62
17033993,2024,62,119.68,142.9,113.87,126.77,104.19
17034027,2024,15,118.67,152.0,116.0,138.67,122.67
17034035,2024,20,107.0,131.0,100.0,112.0,80.0
17034612,2024,19,126.32,160.0,131.58,137.89,112.63
17034620,2024,15,110.67,122.67,101.33,109.33,74.67
17034639,2024,18,110.0,152.22,114.44,127.78,107.78
17035163,2024,12,115.0,140.0,106.67,123.33,101.67
17035180,2024,14,114.29,131.43,114.29,117.14,91.43
17035287,2024,46,113.48,140.0,107.39,122.17,102.17
17035333,2024,9,111.11,124.44,93.33,115.56,82.22
17035465,2024,9,88.89,113.33,73.33,102.22,51.11
17035848,2024,11,103.64,121.82,94.55,101.82,78.18
17036208,2024,24,117.5,150.0,113.33,127.5,115.83
17036577,2024,20,122.0,144.0,128.0,140.0,96.0
17036704,2024,12,110.0,140.0,105.0,130.0,81.67
17036755,2024,26,102.31,124.62,89.23,100.77,56.15
17036917,2024,27,113.33,138.52,100.0,114.07,84.44
17037158,2024,25,116.0,157.6,115.2,132.8,112.0
17037220,2024,45,115.56,140.44,110.22,119.11,93.33
17037786,2024,11,120.0,132.73,103.64,123.64,80.0
17038820,2024,9,102.22,128.89,108.89,106.67,104.44
17039355,2024,38,124.74,150.53,128.42,141.05,127.89
17039371,2024,18,136.67,181.11,150.0,173.33,173.33
17039436,2024,20,120.0,146.0,118.0,126.0,103.0
17039673,2024,90,138.0,174.89,142.44,156.44,156.89
17039894,2024,13,113.85,130.77,106.15,130.77,106.15
17039932,2024,28,106.43,133.57,107.14,120.71,72.86
17040000,2024,5,96.0,128.0,92.0,100.0,64.0
17040051,2024,11,114.55,130.91,96.36,109.09,85.45
17040124,2024,18,107.78,132.22,105.56,108.89,68.89
17040183,2024,25,108.0,134.4,110.4,131.2,96.0
17041830,2024,28,146.43,174.29,157.14,168.57,168.57
17042798,2024,23,113.04,141.74,113.04,122.61,94.78
17043980,2024,71,132.39,161.41,128.17,140.28,125.92
17044200,2024,41,151.22,181.46,156.59,177.07,177.07
17046270,2024,220,128.91,155.64,127.09,141.82,125.91
17046807,2024,25,136.0,180.0,144.8,160.0,160.8
17047358,2024,10,102.0,120.0,98.0,128.0,76.0
17047382,2024,39,132.82,155.9,134.87,144.1,132.31
17047439,2024,178,115.51,143.37,110.22,122.13,92.7
17047790,2024,38,117.37,140.53,111.58,125.26,101.05
17048826,2024,9,106.67,137.78,113.33,115.56,102.22
17049237,2024,107,116.07,133.08,108.22,122.06,90.65
17050294,2024,83,114.94,143.61,113.98,119.76,102.41
17050715,2024,73,114.25,142.74,112.88,120.82,96.16
17050871,2024,6,110.0,160.0,103.33,116.67,113.33
17051371,2024,21,137.14,185.71,146.67,162.86,165.71
17051983,2024,191,134.45,162.93,132.88,143.77,132.36
17052050,2024,47,120.43,149.79,116.6,131.06,105.11
17052068,2024,56,116.43,137.86,112.14,123.93,95.71
17052564,2024,26,146.92,180.0,159.23,172.31,176.15
17052963,2024,15,105.33,117.33,93.33,98.67,64.0
17053455,2024,6,90.0,96.67,66.67,76.67,13.33
17054060,2024,58,113.45,136.21,107.59,121.72,90.69
17054079,2024,35,137.14,167.43,142.29,153.14,149.71
17054796,2024,16,110.0,125.0,96.25,115.0,58.75
17055059,2024,37,129.73,161.62,128.11,141.62,127.57
17055539,2024,31,155.48,187.74,165.81,181.29,172.9
17055571,2024,36,138.33,168.33,143.33,160.0,141.11
17055580,2024,29,124.83,145.52,122.76,130.34,131.03
17055741,2024,24,145.83,179.17,151.67,164.17,168.33
17055857,2024,23,110.43,131.3,104.35,116.52,95.65
17055962,2024,18,152.22,190.0,158.89,171.11,166.67
17056012,2024,10,110.0,136.0,110.0,118.0,82.0
17056420,2024,10,122.0,164.0,136.0,152.0,134.0
17056438,2024,171,128.19,157.78,128.77,138.25,125.85
17056446,2024,79,160.25,190.13,173.92,189.11,187.85
17056489,2024,20,154.0,187.0,163.0,175.0,183.0
17056527,2024,76,148.68,181.32,160.0,179.21,178.42
17056586,2024,29,144.14,176.55,152.41,165.52,153.1
17056691,2024,30,106.67,144.67,102.0,116.0,94.0
17056942,2024,12,130.0,153.33,121.67,135.0,126.67
17057175,2024,12,136.67,181.67,156.67,176.67,183.33
17069840,2024,10,114.0,150.0,114.0,128.0,110.0
17072026,2024,34,130.0,154.71,126.47,155.88,155.88
