inep_nome,competencia_redacao_media,ano
13025376-COLEGIO ADVENTISTA DA ALVORADA,1375.8490566037735,2024
13025694-CENTRO EDUCACIONAL RAIMUNDO BELO FERREIRA,1480,2024
13025767-CENTRO EDUCACIONAL ARTHUR VIRGILIO FILHO,1083.7209302325582,2024
13025872-CENTRO EDUCACIONAL LATO SENSU,1693.714285714286,2024
13026020-CENTRO EDUCACIONAL AMAZONIA,1527.5,2024
13026194-CENTRO EDUCACIONAL LA SALLE,1640.6299212598421,2024
13026356-CENTRO EDUCACIONAL SILVIA GUERRA,1292,2024
13026402-ESCOLAS IDAAM - UNIDADE DJALMA BATISTA,1482.2222222222219,2024
13026470-COLEGIO AMAZONENSE DOM PEDRO II,1259.3630573248406,2024
13026488-COLEGIO MILITAR DE MANAUS,1590.3875968992245,2024
13026496-COLEGIO NOSSA SENHORA AUXILIADORA,1370.6666666666665,2024
13026500-COLEGIO SANTA DOROTEIA,1492.5714285714287,2024
13026550-COLEGIO BRASILEIRO PEDRO SILVESTRE,1167.3076923076924,2024
13026577-COLEGIO MILITAR DA POLICIA MILITAR DO AMAZONAS,1417.2839506172838,2024
13026585-COL DOM BOSCO,1620,2024
13026844-IFAM - CAMPUS MANAUS ZONA LESTE,1292.3577235772357,2024
13026950-ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO,1446.4,2024
13027123-ESCOLA ESTADUAL DESEMBARGADOR ANDRE VIDAL DE ARAUJO,1139.0849673202615,2024
13027131-ESCOLA ESTADUAL ANGELO RAMAZZOTTI,1203.0769230769233,2024
13027158-ESCOLA ESTADUAL ANTONIO DA ENCARNACAO FILHO,1164.5569620253164,2024
13027255-ESCOLA ESTADUAL D MILTON CORREA PEREIRA,1129.3693693693692,2024
