codigo_inep,nome_escola,tipo_escola
12010936,ESC CENTRO EDUCACIONAL E CULTURAL - META,Privada
12011410,ESC COLEGIO DE APLICACAO UFAC,Pública
12011428,ESC COLEGIO ACREANO,Pública
12011444,ESC COLEGIO ESTADUAL BARAO DO RIO BRANCO,Pública
12011517,ESC DR JOAO BATISTA AGUIAR,Pública
12011584,ESC ALCIMAR NUNES LEITAO,Pública
12012017,ESC HUMBERTO SOARES DA COSTA,Pública
12012106,ESC SENADOR ADALBERTO SENA,Pública
12012181,ESC PROF JOSE RODRIGUES LEITE,Pública
12012360,ESC DR SANTIAGO DANTAS,Pública
12012556,ESC PROF HELOISA MOURAO MARQUES,Pública
12012564,ESC HENRIQUE LIMA,Pública
12012580,ESC INSTITUTO DE EDUCACAO LOURENCO FILHO,Pública
12012750,ESC LEONCIO DE CARVALHO,Pública
12012904,ESC CENTRO EDUCACIONAL MARILIA SANTANA - ESCOLA SESI,Privada
12013242,ESC PADRE CARLOS CASAVECCHIA,Pública
12013340,ESC PRESBITERIANA JOAO CALVINO,Pública
12013595,ESC SAO PEDRO I,Pública
12014052,ESC TANCREDO DE ALMEIDA NEVES,Pública
12014125,ESC UNIAO E PROGRESSO,Pública
12014370,ESC INSTITUTO IMACULADA CONCEICAO,Privada
12015326,ESC CEL JOSE PLACIDO DE CASTRO,Pública
12015334,ESC EDMUNDO PINTO DE ALMEIDA NETO,Pública
12015342,ESC JADER SARAIVA MACHADO,Pública
12015946,ESC PROFª IRIS CELIA CABANELLAS ZANNINI,Pública
12016284,ESC KAIRALA JOSE KAIRALA,Pública
12017060,ESC LUIZ GONZAGA DA ROCHA,Pública
12017540,ESC DIVINA PROVIDENCIA,Pública
12018422,ESC SANTA LUCIA III,Pública
12020249,ESC DOM HENRIQUE RUTH,Pública
12021768,ESC MARCILIO PONTES DOS SANTOS,Pública
12022004,ESC FRANCISCO BRAGA DE SOUZA,Pública
12022969,ESC ASSOCIACAO MODELAR DE ENSINO A M E,Privada
12023779,ESC JOAO RICARDO DE FREITAS,Pública
12026328,ESC ELVIRA FERREIRA GOMES,Pública
12026409,COLEGIO ALTERNATIVO DO ACRE,Privada
12026530,ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO,Privada
12026697,ESC CENTRO DE EDUCACAO DE JOVENS E ADULTOS,Pública
12026948,ESC VALERIA BISPO SABALA,Pública
12027340,ESC LOURIVAL PINHO,Pública
12027359,ESC PAULO FREIRE,Pública
12027758,ESC GLORIA PEREZ,Pública
12028037,ESC JORNALISTA ARMANDO NOGUEIRA,Pública
12028835,COLEGIO LATO SENSU,Privada
12028851,ESC PADRE PAOLINO MARIA BALDASSARI,Pública
12028860,ESC JOSE RIBAMAR BATISTA,Pública
12029718,ESC MAGIA DO SABER,Pública
12030058,ESC DE ENSINO MEDIO E TECNICO PLACIDO DE CASTRO,Privada
12030155,ESC JAIRO DE FIGUEIREDO MELO,Pública
12030937,IFAC - CAMPUS CRUZEIRO DO SUL,Pública
12030945,IFAC - CAMPUS SENA MADUREIRA,Pública
12030953,IFAC - CAMPUS XAPURI,Pública
12030961,IFAC - CAMPUS RIO BRANCO,Pública
12031674,ESC BELO PORVIR,Pública
12031682,ESCOLA COLEGIO SIGMA,Privada
12031755,ESC FRANCISCO NAPOLEAO DE ARAUJO,Pública
12032166,ESC PROF RAIMUNDA SILVA PARA,Pública
12032271,INSTITUTO SENAI DE TECNOLOGIA MADEIRA E MOVEIS,Privada
12032441,IFAC - CAMPUS TARAUACA,Pública
12032611,ESC ADALBERTO SENA II,Pública
12032859,ESC COLEGIO BATISTA BETEL,Privada
12033162,ESC ASAS DE AGUIA,Pública
12033359,ESC COLEGIO MILITAR TIRADENTES,Pública
12033367,ESC COLEGIO MILITAR DOM PEDRO II,Pública
12033537,COLEGIO MILITAR ESTADUAL DOM PEDRO II - CZS,Pública
12033545,ESC INSTITUTO AGUIAS DO SABER,Privada
12033790,ESC CIVICO MILITAR PROFESSOR ALDACI SIMOES DA COSTA,Pública
12034568,ESC MARIA DAS GRACAS ROCHA RODRIGUES,Pública
12044636,ESC PROF PEDRO MARTINELLO,Pública
12044822,ESC SEBASTIAO PEDROSA,Pública
12052221,ESC PROF CLICIA GADELHA,Pública
12091260,ESC BOA UNIAO ENSINO JOVEM,Pública
12128236,ESC FAMILIA AGRICOLA JEAN PIERRE MINGAN,Pública
13000136,ESCOLA ESTADUAL PE JOAO BADALOTTI,Pública
13000403,ESCOLA ESTADUAL ANGELINA PALHETA MENDES,Pública
13000411,ESCOLA ESTADUAL SAO FRANCISCO DE SALES,Pública
13000837,ESCOLA ESTADUAL PADRE SCHANAIDER,Pública
13001396,ESCOLA ESTADUAL SAO GABRIEL,Pública
13004255,ESCOLA ESTADUAL BENTA SOLART,Pública
13004964,ESCOLA ESTADUAL PIO VEIGA,Pública
13005081,ESCOLA ESTADUAL NOSSA SENHORA DA IMACULADA CONCEICAO,Pública
13006614,ESCOLA ESTADUAL WALDEMARINA FERREIRA,Pública
13007203,ESCOLA ESTADUAL PE JOAO VAN DEN,Pública
13007351,ESCOLA ESTADUAL SANTO ANTONIO,Pública
13007734,ESCOLA ESTADUAL MONSENHOR EVANGELISTA CEFALONIA,Pública
13008455,ESCOLA ESTADUAL SAO FRANCISCO,Pública
13008552,ESCOLA ESTADUAL OSVALDO NASCIMENTO,Pública
13011413,ESCOLA ESTADUAL ARMANDO DE SOUZA MENDES,Pública
13012096,ESCOLA ESTADUAL FRANCIDENE SOARES BARROSO,Pública
13012533,ESCOLA ESTADUAL PROF JOHANNES PETRUS,Pública
13013076,CENTRO EDUCACIONAL GOVERNADOR GILBERTO MESTRINHO,Pública
13013246,ESCOLA ESTADUAL FREI ANDRE DA COSTA,Pública
13013793,ESCOLA ESTADUAL GETULIO VARGAS,Pública
13014242,ESCOLA ESTADUAL EDSON MELO,Pública
13014803,ESCOLA ESTADUAL TANCREDO NEVES,Pública
13014846,ESCOLA ESTADUAL PRESIDENTE COSTA E SILVA,Pública
13015370,ESCOLA ESTADUAL EUCLIDES CORREA VIEIRA,Pública
13015397,ESCOLA ESTADUAL GETULIO VARGAS,Pública
13016318,ESCOLA ESTADUAL CARMINA DE CASTRO,Pública
13016776,ESCOLA ESTADUAL JOAO VIEIRA,Pública
13018221,ESCOLA ESTADUAL MARIA ALMEIDA DO NASCIMENTO,Pública
13018302,INSTITUTO BEREANO DE COARI,Pública
13019007,ESCOLA ESTADUAL RAYMUNDO SA,Pública
13020269,ESCOLA ESTADUAL THOME FERREIRA SANTIAGO,Pública
13020803,ESCOLA ESTADUAL PEDRO DOS SANTOS,Pública
13020811,ESCOLA ESTADUAL SENADOR FABIO LUCENA,Pública
13021028,ESCOLA ESTADUAL CEL FIUZA,Pública
13021052,ESCOLA ESTADUAL VITAL DE ANDRADE BRANDAO,Pública
13021354,ESCOLA ESTADUAL ALBERTO SANTOS MIGUEIS,Pública
13021362,ESCOLA ESTADUAL TANCREDO DE ALMEIDA NEVES,Pública
13021630,ESCOLA ESTADUAL ISAIAS VASCONCELOS,Pública
13021648,ESCOLA ESTADUAL SENADOR JOAO BOSCO RAMOS DE LIMA,Pública
13022644,ESCOLA ESTADUAL AGRA REIS,Pública
13022652,ESCOLA ESTADUAL ANDRE VIDAL DE ARAUJO,Pública
13022695,ESCOLA ESTADUAL JOSE SEFFAIR,Pública
13022725,ESCOLA ESTADUAL NOSSA SENHORA DE NAZARE,Pública
13024230,ESCOLA ESTADUAL JOSE MOTA,Pública
13024264,ESCOLA ESTADUAL MARIO SILVA DALMEIDA,Pública
13024990,ESCOLA ESTADUAL ANSELMO JACOB,Pública
13025082,ASSOCIACAO DE CIENCIAS EDUCACAO E TECNOLOGIA DA AMAZONIA,Privada
13025228,ESCOLA SESI DRA EMINA BARBOSA MUSTUFA,Privada
13025295,COLEGIO ADVENTISTA DA CIDADE NOVA,Privada
13025333,COLEGIO ADVENTISTA DE MANAUS,Privada
13025376,COLEGIO ADVENTISTA DA ALVORADA,Privada
13025694,CENTRO EDUCACIONAL RAIMUNDO BELO FERREIRA,Privada
13025767,CENTRO EDUCACIONAL ARTHUR VIRGILIO FILHO,Pública
13025872,CENTRO EDUCACIONAL LATO SENSU,Privada
13026020,CENTRO EDUCACIONAL AMAZONIA,Privada
13026194,CENTRO EDUCACIONAL LA SALLE,Privada
13026356,CENTRO EDUCACIONAL SILVIA GUERRA,Privada
13026402,ESCOLAS IDAAM - UNIDADE DJALMA BATISTA,Privada
13026470,COLEGIO AMAZONENSE DOM PEDRO II,Pública
13026488,COLEGIO MILITAR DE MANAUS,Pública
13026496,COLEGIO NOSSA SENHORA AUXILIADORA,Privada
13026500,COLEGIO SANTA DOROTEIA,Privada
13026550,COLEGIO BRASILEIRO PEDRO SILVESTRE,Pública
13026577,COLEGIO MILITAR DA POLICIA MILITAR DO AMAZONAS,Pública
13026585,COL DOM BOSCO,Privada
13026844,IFAM - CAMPUS MANAUS ZONA LESTE,Pública
13026950,ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO,Privada
13027123,ESCOLA ESTADUAL DESEMBARGADOR ANDRE VIDAL DE ARAUJO,Pública
13027131,ESCOLA ESTADUAL ANGELO RAMAZZOTTI,Pública
13027158,ESCOLA ESTADUAL ANTONIO DA ENCARNACAO FILHO,Pública
13027255,ESCOLA ESTADUAL D MILTON CORREA PEREIRA,Pública
13027280,ESCOLA ESTADUAL DR JOSE MILTON BANDEIRA,Pública
13027310,ESCOLA ESTADUAL ENGº ARTHUR AMORIM,Pública
13027328,ESCOLA ESTADUAL ESTELITA TAPAJOS,Pública
13027344,ESCOLA ESTADUAL FARIAS BRITTO,Pública
13027549,ESCOLA ESTADUAL LUIZINHA NASCIMENTO,Pública
13027573,ESCOLA ESTADUAL MARCIO NERY,Pública
13027590,ESCOLA ESTADUAL MARECHAL HERMES,Pública
13027620,ESCOLA ESTADUAL MARIA MADALENA SANTANA DE LIMA,Pública
13027638,ESCOLA ESTADUAL MARIA RODRIGUES TAPAJOS,Pública
13027727,ESCOLA ESTADUAL PROFª ONDINA DE PAULA RIBEIRO,Pública
13027786,ESCOLA ESTADUAL PRESIDENTE CASTELO BRANCO,Pública
13027930,ESCOLA ESTADUAL RUY ARAUJO,Pública
13027956,ESCOLA ESTADUAL SANT ANA,Pública
13027972,ESCOLA ESTADUAL SENADOR PETRONIO PORTELLA,Pública
13028006,ESCOLA ESTADUAL SOLON DE LUCENA,Pública
13028057,ESCOLA ESTADUAL TIRADENTES,Pública
13028073,ESCOLA ESTADUAL VICENTE TELLES,Pública
13029860,CESF - CENTRO EDUCACIONAL SAO FRANCISCO,Privada
13029916,IFAM - CAMPUS MANAUS CENTRO,Pública
13029967,ESCOLA ESTADUAL BRIGADEIRO JOAO CAMARAO TELLES RIBEIRO,Pública
13029991,ESCOLA ESTADUAL MILBURGES ARAUJO,Pública
13030019,ESCOLA ESTADUAL BENEDITO ALMEIDA,Pública
13030027,ESCOLA ESTADUAL VASCO VASQUES,Pública
13030159,ESCOLA ESTADUAL AGNELLO BITTENCOURT,Pública
13030221,ESCOLA ESTADUAL BENJAMIN MAGALHAES BRANDAO,Pública
13030272,ESCOLA ESTADUAL DORVAL PORTO,Pública
13030299,ESCOLA ESTADUAL PROFª EUNICE SERRANO TELLES DE SOUZA,Pública
13030310,ESCOLA ESTADUAL FREI SILVIO VAGHEGGI,Pública
13030353,ESCOLA ESTADUAL GILBERTO MESTRINHO,Pública
13030400,ESCOLA ESTADUAL HOMERO DE MIRANDA LEAO,Pública
13030426,ESCOLA ESTADUAL INSPETORA DULCINEIA VARELA MOURA,Pública
13030450,ESCOLA ESTADUAL JOAO BOSCO PANTOJA EVANGELISTA,Pública
13030469,ESCOLA ESTADUAL PROF JOSE BERNARDINO LINDOSO,Pública
13030566,ESCOLA ESTADUAL MARIA AMELIA DO ESPIRITO SANTO,Pública
13030590,ESCOLA ESTADUAL MARIA DO CEU VAZ DOLIVEIRA,Pública
13030604,ESCOLA ESTADUAL GOVERNADOR MELO POVOAS,Pública
13030680,ESCOLA ESTADUAL NATHALIA UCHOA,Pública
13030736,ESCOLA ESTADUAL PE PEDRO GISLANDY,Pública
13030809,ESCOLA ESTADUAL PROFESSORA DIANA PINHEIRO,Pública
13030833,ESCOLA ESTADUAL RAIMUNDO GOMES NOGUEIRA,Pública
13030884,ESCOLA ESTADUAL SAO LUIZ DE GONZAGA,Pública
13030892,ESCOLA ESTADUAL SEBASTIAO NOROES,Pública
13030906,ESCOLA ESTADUAL SENADOR ANTOVILA MOURAO VIEIRA,Pública
13030914,ESCOLA ESTADUAL SENADOR JOAO BOSCO RAMOS DE LIMA,Pública
13030990,ESCOLA ESTADUAL ANTONIO BITTENCOURT,Pública
13031007,ESCOLA ESTADUAL ANTONIO DE LUCENA BITTENCOURT,Pública
13031040,ESCOLA ESTADUAL JOSE CARLOS MESTRINHO,Pública
13031058,ESCOLA ESTADUAL DEP JOSUE CLAUDIO DE SOUZA,Pública
13031066,ESCOLA ESTADUAL DR ISAAC SVERNER,Pública
13031112,ESCOLA ESTADUAL MARIA DA LUZ CALDERARO,Pública
13031120,ESCOLA ESTADUAL NOSSA SENHORA APARECIDA,Pública
13031139,ESCOLA ESTADUAL PROF ANTONIO MAURITY MONTEIRO COELHO,Pública
13031147,ESCOLA ESTADUAL PROFESSOR ANTENOR SARMENTO,Pública
13031163,ESCOLA ESTADUAL MARIA TEIXEIRA GOES,Pública
13031198,ESCOLA ESTADUAL SENADOR MANUEL SEVERIANO NUNES,Pública
13031457,CENTRO DE ENSINO ALPHA DELTA,Privada
13031660,ESCOLAS NILTON LINS,Privada
13031767,FUNDACAO MATIAS MACHLINE,Privada
13031783,INSTITUTO ADVENTISTA DE MANAUS,Privada
13031791,COLEGIO BATISTA BRASIL IDA NELSON,Privada
13031872,INSTITUTO BATISTA DO AMAZONAS,Privada
13031899,INSTITUTO DE EDUCACAO DO AMAZONAS,Pública
13032020,LAVINIENSE ENSINO INTEGRADO E CE PINGO DE GENTE,Privada
13032127,CENTRO DE EDUCACAO SESC JOSE ROBERTO TADROS,Privada
13032461,ESCOLA ESTADUAL MARIA CALDERARO,Pública
13032526,ESCOLA ESTADUAL RAIMUNDO PAZ,Pública
13032879,INSTITUTO ADVENTISTA AGROINDUSTRIAL,Privada
13033620,ESCOLA ESTADUAL DEPUTADO VITAL DE MENDONCA,Pública
